project name,version,date,lines of code,complexity,comment lines density%,duplicated lines density%,issues,complexity/file,complexity/function,comment lines,duplicated blocks,blocker issues,critical issues,major issues,minor issues,directories,functions,statements,SQALE rating,technical debt,technical debt ratio
node-mysql,v0.3.0,25 Aug 2010,2540,465,2.3%,0.0%,259,24.5,3.4,61,0,2,0,244,11,4,211,1954,A,14d,9.1%
mongoose,3.8.1,19 Nov 2013,33772,7675,13.1%,10.0%,4872,64.5,4.9,5082,344,7,12,4706,139,8,4594,22788,A,138d,6.5%
npm,v0.2.3-3,29 Sep 2010,4397,1902,8.2%,0.0%,3278,29.7,5.9,394,0,0,52,3195,14,6,618,2801,C,70d,25.6%
mongoose,3.8.3,17 Dec 2013,34156,7744,13.0%,10.2%,4895,65.1,4.9,5092,355,7,12,4728,140,8,4647,23025,A,138d,6.5%
npm,v1.1.31,21 Jun 2012,7109,3140,8.7%,0.6%,4933,38.8,6.6,678,2,0,24,4889,16,17,897,4352,C,108d,24.4%
brackets,sprint-23,10 Apr 2013,200032,69469,19.1%,62.7%,36186,148.1,9.0,47090,4713,0,3,31025,4468,97,20070,113899,A,814d,6.5%
q,v0.8.12,29 Dec 2012,5662,2119,15.8%,11.3%,705,117.7,3.5,1062,38,0,1,660,31,5,1285,3827,A,18d,5.3%
source-map,0.1.38,03 Aug 2014,3486,607,14.8%,0.8%,232,22.5,5.1,606,2,4,1,221,5,6,247,1877,A,10d,4.9%
npm,v1.1.0-beta-10,05 Jan 2012,8869,4176,9.9%,0.0%,6571,45.4,6.9,971,0,0,56,6479,29,10,1147,5648,C,143d,25.9%
underscore,1.0.4,22 Jun 2010,1143,749,11.9%,0.0%,479,74.9,4.4,155,0,0,0,469,10,2,382,1335,B,12d,17.6%
bower,v0.8.0,24 Feb 2013,4155,1518,10.5%,6.3%,646,28.1,4.8,486,19,0,0,623,18,15,717,3056,B,26d,10.2%
brackets,sprint-14,20 Sep 2012,178781,64818,18.7%,72.9%,30709,160.8,9.6,41097,4555,0,3,26022,4073,81,17324,102413,A,777d,7.0%
underscore,1.1.1,05 Oct 2010,1170,760,11.7%,0.0%,490,76.0,4.4,155,0,0,0,480,10,2,386,1365,B,12d,17.4%
ember.js,v1.8.0-beta.2,20 Sep 2014,59671,13291,20.9%,5.9%,2700,26.2,2.2,15765,329,5,0,2241,385,97,8597,36323,A,82d,2.2%
request,v2.52.0,01 Feb 2015,6936,1503,4.2%,5.7%,3389,25.5,2.8,305,22,0,0,3308,19,5,837,3572,B,75d,17.4%
npm,v0.1.18,03 Jul 2010,2654,1148,9.0%,0.0%,2009,23.9,6.8,264,0,0,37,1952,10,6,325,1714,C,48d,29.5%
node-mysql,v0.4.0,02 Sep 2010,2822,533,2.7%,0.0%,340,25.4,3.3,78,0,3,0,323,12,6,249,2138,B,20d,11.6%
bootstrap,v3.1.0,30 Jan 2014,4271,1822,6.5%,65.8%,3673,65.1,5.5,297,38,1,0,3599,35,5,729,3173,C,87d,32.8%
brackets,sprint-27,28 Jun 2013,209468,71657,19.1%,59.2%,38464,136.8,8.8,49452,4642,0,3,33155,4562,117,21473,119358,A,838d,6.4%
ember.js,v1.0.0-rc.8,28 Aug 2013,44461,10753,23.1%,5.4%,2309,24.7,2.3,13343,239,0,0,2007,269,89,6964,28125,A,68d,2.5%
request,v2.36.0,19 May 2014,3716,1034,5.2%,7.9%,1923,22.5,4.2,203,20,1,0,1893,28,4,376,2351,B,45d,19.6%
npm,v1.1.32,22 Jun 2012,7110,3140,8.7%,0.6%,4934,38.8,6.6,678,2,0,24,4890,16,17,897,4353,C,108d,24.4%
ember.js,v1.8.0-beta.4,05 Oct 2014,60318,13405,20.7%,5.9%,2674,26.3,2.2,15781,331,8,0,2209,389,97,8676,36731,A,81d,2.2%
q,v0.9.1,06 Mar 2013,5973,2163,15.0%,10.8%,599,120.2,3.4,1050,38,0,1,559,27,5,1342,4004,A,17d,4.6%
npm,v0.3.5,22 Feb 2011,7132,3166,7.1%,0.0%,5348,34.0,6.4,542,0,0,82,5230,22,11,942,4549,C,119d,26.8%
npm,v1.0.12,15 Jun 2011,7967,3803,9.9%,0.3%,6160,40.5,6.9,879,2,0,57,6070,26,9,1033,5231,C,135d,27.1%
source-map,0.1.39,09 Sep 2014,3492,610,14.8%,0.8%,233,22.6,5.0,606,2,4,1,222,5,6,249,1882,A,10d,4.9%
ember.js,sc-v2.0.beta.3,11 Aug 2011,20361,5180,22.8%,6.8%,3908,20.3,2.4,5999,122,2,0,3588,301,62,2796,13629,A,63d,5.0%
node-mysql,v0.5.0,17 Sep 2010,2857,544,2.7%,0.0%,342,24.7,3.3,78,0,3,0,325,12,6,253,2161,B,20d,11.5%
npm,v1.2.11,15 Feb 2013,7370,3329,9.6%,0.0%,5372,38.7,6.8,786,0,0,22,5325,22,20,953,4755,C,118d,25.7%
npm,v1.3.8,16 Aug 2013,7652,3359,9.2%,0.0%,5488,39.1,6.5,775,0,0,19,5439,28,20,998,4892,C,121d,25.4%
npm,v0.2.11-5,07 Dec 2010,6365,2793,8.1%,0.0%,4723,33.7,6.2,562,0,0,69,4606,29,8,856,4018,C,102d,25.7%
npm,1.1.0-alpha-1,22 Nov 2011,8532,4047,9.8%,0.0%,6405,44.5,7.0,930,0,0,52,6318,28,10,1109,5482,C,139d,26.2%
q,v0.9.0,27 Feb 2013,5947,2156,15.0%,10.9%,597,119.8,3.4,1050,38,0,1,557,27,5,1337,3984,A,17d,4.6%
coffeescript,1.1.2,04 Aug 2011,5912,4145,0.7%,0.0%,2158,76.8,15.4,40,0,0,0,2102,56,3,988,5928,B,50d,13.6%
npm,v1.1.0,12 Jan 2012,8910,4191,9.9%,0.0%,6590,45.6,6.9,977,0,0,57,6497,29,10,1150,5667,C,143d,25.8%
bootstrap,v3.0.3,05 Dec 2013,3994,1734,11.1%,63.5%,3563,61.9,5.4,498,38,1,0,3494,30,4,710,3047,C,84d,33.7%
mocha,0.13.0,23 Feb 2012,2917,3600,17.2%,2.6%,2866,52.2,7.8,607,5,0,0,2815,48,11,1101,3909,C,73d,40.6%
npm,v1.1.54,21 Aug 2012,6682,2994,9.1%,0.7%,4805,37.4,6.7,666,2,0,23,4763,16,18,855,4249,C,105d,25.3%
mocha,1.7.2,28 Nov 2012,6446,1930,20.6%,75.9%,1376,23.8,4.4,1677,79,0,0,1323,49,13,1117,4262,A,40d,10.0%
underscore,1.1.4,09 Jan 2011,1267,843,12.3%,0.0%,555,76.6,4.6,177,0,0,0,542,13,2,408,1506,B,14d,18.2%
coffeescript,1.9.0,29 Jan 2015,7723,5251,1.6%,0.0%,3576,79.6,16.8,124,0,0,0,3528,48,6,1262,6687,B,79d,16.4%
brackets,sprint-11,22 Jul 2012,25153,7828,25.7%,2.5%,6821,55.9,6.5,8694,48,0,0,6198,376,39,3306,15335,A,88d,5.6%
mocha,1.12.1,29 Aug 2013,7050,2132,20.1%,74.1%,1334,24.0,4.5,1769,91,0,0,1274,56,17,1210,4659,A,40d,9.1%
mocha,0.3.2,05 Dec 2011,3109,850,20.6%,68.1%,646,15.7,3.2,808,53,0,0,612,30,10,598,1954,A,15d,8.0%
mocha,1.17.1,22 Jan 2014,7828,2483,20.1%,73.7%,1555,26.1,4.8,1967,100,0,0,1493,58,18,1370,5238,A,47d,9.7%
mongoose,3.7.0,05 Aug 2013,31885,7276,13.3%,10.0%,4719,64.4,5.0,4882,326,6,10,4562,135,8,4286,21478,A,134d,6.8%
npm,v1.4.11,22 May 2014,10801,4123,6.9%,5.4%,7420,26.9,5.7,802,49,1,20,7355,41,31,1435,6835,C,163d,24.3%
source-map,0.1.40,02 Oct 2014,3523,614,15.0%,0.8%,236,22.7,5.0,621,2,4,1,225,5,6,253,1897,A,10d,4.9%
underscore,1.1.5,20 Mar 2011,1326,874,12.1%,0.0%,581,79.5,4.6,182,0,0,0,568,13,2,427,1589,B,14d,18.1%
request,v2.37.0,07 Jul 2014,3826,1064,5.3%,7.6%,1989,22.6,4.2,216,20,1,0,1957,30,4,390,2426,B,47d,19.7%
npm,v1.4.18,29 Jun 2014,10873,4114,6.8%,4.8%,7430,26.2,5.6,799,47,1,20,7367,39,31,1437,6900,C,163d,24.0%
ember.js,v0.9.6,30 Mar 2012,43171,13523,23.1%,41.2%,4209,46.5,5.0,12944,333,0,1,3471,699,63,5282,27114,A,145d,5.4%
bower,v1.3.4,02 Jun 2014,12361,2980,8.8%,20.0%,240,38.7,3.8,1192,216,2,10,154,41,13,1905,7147,A,4d 6h,0.6%
mocha,1.21.4,06 Aug 2014,8374,2658,19.3%,72.2%,1631,27.4,4.8,2009,102,0,0,1567,60,19,1474,5637,A,48d,9.4%
bower,v1.2.3,22 Aug 2013,10296,2505,9.2%,12.7%,185,35.3,3.9,1044,149,1,8,114,31,13,1576,6051,A,3d 3h,0.5%
source-map,0.1.41,17 Dec 2014,3740,632,14.7%,2.1%,245,23.4,5.0,643,6,4,1,234,5,6,263,1987,A,11d,4.8%
npm,v2.1.10,20 Nov 2014,16296,5296,5.6%,7.9%,10639,23.3,5.2,958,90,0,18,10576,40,36,2063,10068,C,231d,22.7%
bootstrap,v3.2.0,26 Jun 2014,5257,2096,6.3%,60.2%,4221,69.9,5.4,354,40,0,0,4117,52,5,839,3844,C,98d,29.9%
ember.js,v1.3.0-beta.1,25 Nov 2013,47605,11579,22.3%,6.0%,2305,25.8,2.3,13636,277,0,0,1991,282,88,7532,30230,A,68d,2.3%
less.js,v1.4.0-b3,30 Apr 2013,61111,43941,12.2%,93.6%,25922,457.7,10.0,8477,4690,0,0,24618,1280,7,12079,50185,B,709d,18.6%
npm,v0.2.3-4,04 Oct 2010,4511,1937,8.1%,0.0%,3346,29.3,5.9,400,0,0,52,3262,15,6,629,2869,C,71d,25.4%
bower,v1.3.3,24 Apr 2014,12332,2974,8.8%,20.1%,238,38.6,3.8,1192,214,2,10,152,41,13,1902,7133,A,4d 5h,0.6%
source-map,0.1.43,08 Jan 2015,3802,648,14.9%,2.1%,255,23.1,4.9,665,6,4,1,244,5,6,271,2025,A,11d,4.9%
underscore,1.1.2,15 Oct 2010,1161,749,12.1%,0.0%,481,74.9,4.3,160,0,0,0,470,11,2,385,1333,B,12d,17.2%
bower,v1.3.11,18 Sep 2014,13354,3150,8.5%,18.9%,278,36.2,3.8,1248,220,5,32,167,40,15,2040,7571,A,5d 4h,0.7%
brackets,sprint-24,29 Apr 2013,201865,69819,19.1%,61.9%,36803,144.9,9.0,47576,4700,0,3,31596,4498,102,20370,115032,A,821d,6.5%
underscore,1.1.3,01 Dec 2010,1210,787,12.6%,0.0%,501,71.5,4.4,174,0,0,0,489,12,2,400,1401,B,13d,17.2%
ember.js,v1.0.0-rc.7,14 Aug 2013,40865,9918,22.3%,5.4%,2105,23.7,2.3,11709,228,0,0,1825,253,87,6386,26021,A,64d,2.5%
bower,v0.1.1,16 Sep 2012,1149,423,9.2%,0.0%,170,15.7,3.8,117,0,0,0,169,1,9,212,856,A,4d 7h,6.8%
less.js,v1.4.2,20 Jul 2013,74677,54639,11.8%,94.7%,33776,535.7,10.1,10024,5341,0,1,32149,1590,7,15064,61459,B,902d,19.3%
brackets,sprint-5,21 Mar 2012,14280,4135,20.6%,40.3%,3603,41.4,4.8,3700,35,0,0,3290,140,23,2584,9374,A,48d,5.4%
npm,v1.3.15,20 Nov 2013,8036,3477,8.9%,0.0%,5738,36.6,6.5,783,0,0,19,5689,28,21,1049,5145,C,127d,25.4%
mocha,1.7.3,30 Nov 2012,6452,1934,20.6%,75.8%,1379,23.9,4.4,1675,79,0,0,1326,49,13,1120,4267,A,40d,10.0%
coffeescript,0.6.2,15 May 2010,5031,3166,14.5%,1.0%,1212,58.6,9.0,856,2,0,0,1162,50,3,945,6265,B,35d,11.4%
mongoose,3.8.14,26 Jul 2014,35120,7993,12.7%,10.0%,4982,66.6,4.9,5119,359,8,12,4811,143,9,4799,23650,A,141d,6.5%
ember.js,v1.0.pre,03 Aug 2012,49014,14821,24.9%,20.9%,4162,43.8,4.7,16288,329,1,1,3467,657,70,6107,30358,A,141d,4.6%
npm,v1.3.26,02 Feb 2014,9022,3736,8.3%,0.2%,6304,33.7,6.1,813,2,0,21,6250,30,24,1193,5714,C,139d,24.7%
npm,v0.3.4,21 Feb 2011,7172,3183,7.1%,0.0%,5369,34.2,6.4,546,0,0,82,5250,23,11,947,4572,C,119d,26.8%
underscore,1.1.6,18 Apr 2011,1335,555,11.7%,0.0%,329,55.5,4.0,177,0,0,0,322,7,2,318,1191,B,8d 6h,10.5%
npm,v1.0.1,30 Apr 2011,7612,3637,9.5%,0.3%,5895,40.0,6.8,802,2,0,57,5810,25,8,987,5019,C,129d,27.1%
npm,v1.1.58,22 Aug 2012,6944,3111,9.2%,0.6%,5002,38.4,6.7,704,2,0,23,4957,19,18,906,4430,C,109d,25.3%
mocha,0.3.0,04 Dec 2011,3106,849,20.6%,68.2%,646,15.7,3.2,808,49,0,0,612,30,10,598,1952,A,15d,8.0%
less.js,v1.4.0-b4,04 May 2013,61109,43866,12.2%,93.6%,26434,456.9,9.9,8482,4690,0,0,25157,1253,7,12079,49147,B,712d,18.7%
mocha,1.12.0,01 Jul 2013,6944,2089,20.1%,74.3%,1352,24.6,4.6,1751,89,0,0,1292,56,15,1183,4597,A,40d,9.4%
npm,v2.5.1,06 Feb 2015,18034,5653,5.2%,10.1%,11651,22.9,5.0,980,119,0,19,11579,45,36,2276,11045,C,253d,22.5%
mocha,1.18.0,13 Mar 2014,8014,2537,19.7%,73.0%,1562,26.7,4.8,1965,100,0,0,1500,58,18,1408,5365,A,47d,9.5%
underscore,1.2.0,05 Oct 2011,1666,1006,12.7%,0.0%,765,91.5,4.8,242,0,0,0,745,20,2,474,1885,B,20d,19.6%
q,v0.9.2,10 Mar 2013,6057,2194,14.8%,11.0%,606,121.9,3.4,1050,40,0,1,567,26,5,1374,4074,A,17d,4.6%
brackets,sprint-18,21 Dec 2012,186614,66594,18.8%,68.0%,32437,160.9,9.4,43224,4714,0,3,27659,4151,79,18139,106352,A,791d,6.8%
mocha,1.17.0,09 Jan 2014,7794,2478,20.1%,73.7%,1563,26.1,4.8,1961,100,0,0,1501,58,18,1364,5223,A,47d,9.8%
npm,v0.2.11,05 Dec 2010,6333,2777,8.2%,0.0%,4694,33.5,6.2,563,0,0,69,4577,28,8,851,3995,C,101d,25.6%
less.js,v2.0.0,09 Nov 2014,17763,9055,10.2%,74.3%,4520,63.8,9.6,2023,158,3,0,4187,303,18,2538,13029,B,132d,12.0%
mongoose,4.0.0-rc1,01 Feb 2015,40821,9152,12.2%,13.0%,5002,66.8,4.9,5683,437,21,12,4804,156,13,5612,27119,A,145d,5.7%
bower,v1.0.0-alpha.6,14 Jul 2013,9053,2124,8.3%,11.7%,152,32.2,3.7,818,112,0,7,93,21,14,1424,5362,A,2d 3h,0.4%
request,v2.32.0,16 Jan 2014,3328,939,5.2%,6.7%,1793,22.9,4.1,181,18,0,0,1764,28,4,327,2097,C,41d,20.1%
less.js,v2.3.0,27 Jan 2015,18387,9371,10.1%,74.1%,4656,64.6,9.7,2059,162,3,0,4309,318,18,2587,13506,B,137d,12.0%
mongoose,4.0.0-rc4,14 Mar 2015,41626,9319,12.0%,12.8%,4981,67.0,4.8,5700,442,22,12,4780,159,12,5724,27584,A,144d,5.6%
ember.js,v1.2.0-beta.4,15 Nov 2013,47230,11468,22.3%,5.7%,2307,25.7,2.3,13540,263,0,0,1995,281,88,7451,29990,A,68d,2.3%
npm,v2.5.0,30 Jan 2015,18020,5651,5.2%,10.3%,11649,22.9,5.0,981,118,0,19,11576,46,36,2273,11043,C,253d,22.5%
npm,v2.1.2,29 Sep 2014,12600,4550,6.3%,7.2%,8670,24.5,5.5,841,77,2,15,8609,39,35,1686,8092,C,189d,24.1%
source-map,0.1.34,09 Jun 2014,3211,589,15.3%,0.9%,224,21.8,5.1,579,2,2,1,216,5,6,237,1718,A,10d,5.3%
q,v0.8.10,05 Nov 2012,5527,2041,16.4%,10.5%,609,136.1,3.6,1084,34,0,1,565,32,5,1210,3808,A,17d,5.1%
npm,v1.1.42,16 Jul 2012,7205,3158,8.8%,0.6%,5027,39.5,6.6,698,2,0,25,4982,17,17,908,4423,C,110d,24.5%
mongoose,2.6.0,19 Apr 2012,17465,3901,10.7%,7.3%,1875,54.2,3.1,2101,104,5,8,1751,87,9,2437,11019,A,65d,6.0%
bower,v0.7.0,01 Feb 2013,3239,1276,12.3%,4.8%,594,27.1,5.0,455,13,0,0,578,12,15,573,2505,B,25d,12.5%
npm,v2.7.0,27 Feb 2015,18965,5790,5.1%,10.2%,12181,22.5,4.9,1017,128,0,18,12107,48,34,2388,11554,C,264d,22.3%
coffeescript,1.8.0,26 Aug 2014,7648,5189,1.6%,0.0%,3716,79.8,17.1,123,0,0,0,3667,49,6,1225,6894,B,82d,17.2%
npm,v1.1.9,14 Mar 2012,9309,4340,9.9%,0.0%,6828,46.2,6.9,1027,0,0,55,6739,28,13,1176,5918,C,149d,25.7%
bootstrap,v3.1.1,13 Feb 2014,4501,1895,6.8%,62.6%,3687,61.1,5.5,328,38,1,0,3609,35,5,753,3325,C,87d,31.2%
npm,v1.0.11,14 Jun 2011,7967,3802,9.9%,0.3%,6160,40.4,6.9,879,2,0,57,6070,26,9,1033,5231,C,135d,27.1%
ember.js,v1.4.0-beta.5,03 Feb 2014,50349,12124,23.2%,6.0%,2463,26.4,2.3,15167,290,0,0,2121,298,90,7821,31780,A,74d,2.4%
bower,v0.8.1,25 Feb 2013,4152,1515,10.5%,6.3%,644,28.1,4.8,485,19,0,0,621,18,15,716,3053,B,26d,10.2%
bower,v1.0.0-rc.2,19 Jul 2013,9130,2140,8.4%,11.6%,153,32.9,3.7,840,112,0,7,95,21,14,1438,5416,A,2d 4h,0.4%
source-map,0.1.42,31 Dec 2014,3742,632,14.7%,2.1%,245,23.4,5.0,646,6,4,1,234,5,6,263,1989,A,11d,4.8%
bootstrap,v3.3.0,29 Oct 2014,6543,2283,5.1%,58.8%,4787,73.6,5.3,352,72,0,0,4685,50,5,936,4408,C,110d,27.0%
underscore,1.1.7,13 Jul 2011,1415,918,11.9%,0.0%,620,83.5,4.6,192,0,0,0,611,9,2,453,1660,B,16d,18.1%
mocha,1.3.0,05 Jul 2012,5854,1674,20.4%,74.5%,1192,21.2,4.1,1497,77,0,0,1140,48,13,1037,3795,A,34d,9.3%
